NUMERO;LOCAL
34;RIBEIRÃO VERMELHO
48;TRIANON
38;SESI
23;IGREJA DA CIDADE
21;HANGAR
1;ADC EMBRAER
2;ALPHAVILLE 1
3;ALTOS DE SANTANA
4;ALTOS DA SERRA 1
5;AQUARIUS
6;ARENA CASSIANO/WILLIAM
7;ARENA MORUMBI
8;ARENA VILA BRANCA
9;CAMPO DOS ALEMÃES
10;CCVT
11;CEMUG
12;CENTRAL PARK
13;CEREJEIRAS
14;COCTA
15;COLINAS
16;CTW
17;ESPLANADA DO SOL
18;ESPLANADA PARK
19;ESPLANADA RESORT
20;GRAND CLUB
22;HOCEVAR
24;JAGUARY
25;JARDIM AMERICA
26;JARDIM DO GOLFE
27;JEQUITIBA
28;JOHNSON CLUBE
29;MIRANTE
30;PARATEHY
31;PDC
32;POLIESPORTIVO EMBRAER
33;PREMIERE
35;SANTA CLARA RESORT
36;SANTA RITA
37;SÃO JUDAS
39;SKY HOUSE
40;SPLENDOR GARDEN
41;TÊNIS CLUBE
42;TÊNIS VILLA
43;TENNIS GARDEN
44;TERRAS DO VALE
45;TERRAS DE SANTA HELENA
46;TESOURO
47;THERMAS DO VALE
49;VERANA
