NUMERO;LOCAL;LOCAL2
34;RIBEIRAO VERMELHO;POLI RIBEIRAO
48;TRIANON CLUBE;TRIANON
38;SESI;CLUBE SESI
23;IGREJA DA CIDADE;ARENA IGREJA
21;HANGAR;HANGAR DO TENIS
1;ADC EMBRAER;CLUBE DE CAMPO EMBRAER
2;ALPHAVILLE 1;COND. ALPHAVILLE 1
3;ALTOS DE SANTANA;POLI SANTANA
4;ALTOS DA SERRA 1;COND. ALTOS DA SERRA 1
5;AQUARIUS;COND. AQUARIUS 1
6;ARENA CASSIANO/WILLIAM;QUADRA CASSIANO/WILLIAM
7;ARENA MORUMBI;MORUMBI
8;ARENA VILA BRANCA;COND. VILA BRANCA 1
57;BELLA VITÁ CAMINHO DA MATA;
9;CAMPO DOS ALEMAES;POLI CAMPO
10;COSTA VERDE TABATINGA;COND. CVT
11;CEMUG;CENTRO ESPORTIVO UBALDO GONÇALVES
12;CENTRAL PARK;COND. CENTRAL PARK
13;CEREJEIRAS;POLI CEREJEIRAS
14;COCTA;CTA COCTA
15;COLINAS;COND. JARDIM DAS COLINAS
16;ACADEMIA CTW;CENTRO DE TREINAMENTO WALDERI
17;ESPLANADA DO SOL;COND. ESPLANADA DO SOL
51;ESPLANADA LIFE CLUB;
18;ESPLANADA PARK;COND. ESPLANADA PARK
19;ESPLANADA RESORT;COND. ESPLANADA RESORT
20;GRAND CLUB;COND. GRAND CLUB
22;HOCEVAR;UNIVAP HOCEVAR
56;ICON VILA EMA;
24;JAGUARY;COND. JAGUARY
25;JARDIM AMERICA;COND. JARDIM AMERICA
26;JARDIM DO GOLFE;COND. JARDIM DO GOLFE
27;JEQUITIBA;CLUBE JEQUITIBA
28;JOHNSON CLUBE;ADC JOHNSON
52;LAGOINHA;COND. LAGOINHA
59;MED LAKE PARADISE;
29;MIRANTE;COND. MIRANTE DO VALE
58;MONTSERRAT;
53;PARAISOPOLIS;
30;PARATEHY;COND. RESERVA PARATEHY
31;PQ CIDADE;PARQUE DA CIDADE
32;POLI EMBRAER;POLIESPORTIVO EMBRAER
33;PREMIERE;COND. PREMIERE
55;RIO QUENTE RESORTS;
35;SANTA CLARA RESORT;COND. SANTA CLARA
36;SANTA RITA;CLUBE SANTA RITA
37;SAO JUDAS;POLI SAO JUDAS
39;SKY HOUSE;COND. SKY HOUSE
40;SPLENDOR GARDEN;COND. SPLENDOR GARDEN
41;TENIS CLUBE;TENIS CLUBE SÃO JOSÉ
42;TENIS VILLA;TENIS VILLA ACADEMIA
43;TENNIS GARDEN;TENNIS GARDEN ACADEMIA
54;TERRAS DE SANTA CLARA;
44;TERRAS DO VALE;COND. TERRAS DO VALE
45;SANTA HELENA;TERRAS DE SANTA HELENA
46;TESOURO;POLI TESOURO
47;THERMAS DO VALE;CLUBE THERMAS
49;VERANA;COND. VERANA
50;VILLAS DE SANTANA;COND. VILLAS DE SANTANA
